timestamp,value
2020-01-01 00:00:00,0.05725827813561586
2020-01-01 01:00:00,0.636649696669833
2020-01-01 02:00:00,0.43035354599235515
2020-01-01 03:00:00,1.150698865839472
2020-01-01 04:00:00,3.0896920949505917
2020-01-01 05:00:00,2.901139747645479
2020-01-01 06:00:00,2.5356232086879453
2020-01-01 07:00:00,4.916353881720521
2020-01-01 08:00:00,6.053565272578429
2020-01-01 09:00:00,5.3664516160623785
2020-01-01 10:00:00,6.067872542955189
2020-01-01 11:00:00,5.504533186848785
2020-01-01 12:00:00,4.627009606262876
2020-01-01 13:00:00,5.218919907961076
2020-01-01 14:00:00,1.699047540566811
2020-01-01 15:00:00,-1.0231776452261483
2020-01-01 16:00:00,-2.1559823978266377
2020-01-01 17:00:00,-4.025868425439911
2020-01-01 18:00:00,-3.4489371409903025
2020-01-01 19:00:00,-5.0688273516912705
2020-01-01 20:00:00,-7.565565588683914
2020-01-01 21:00:00,-4.861226066343531
2020-01-01 22:00:00,-5.389830284953381
2020-01-01 23:00:00,-5.20847138171787
2020-01-02 00:00:00,-7.681982825318961
2020-01-02 01:00:00,-8.75977186188132
2020-01-02 02:00:00,-8.676072718534527
2020-01-02 03:00:00,-10.940984855389681
2020-01-02 04:00:00,-10.201187437884737
2020-01-02 05:00:00,-11.32969668447193
2020-01-02 06:00:00,-12.06923343488415
2020-01-02 07:00:00,-13.188487904941207
2020-01-02 08:00:00,-9.625052289568755
2020-01-02 09:00:00,-9.445432664461894
2020-01-02 10:00:00,-11.561862699158024
2020-01-02 11:00:00,-10.000061306953974
2020-01-02 12:00:00,-12.294231966766315
2020-01-02 13:00:00,-12.144172912408589
2020-01-02 14:00:00,-16.224423717984543
2020-01-02 15:00:00,-18.81911974054923
2020-01-02 16:00:00,-18.3251633029505
2020-01-02 17:00:00,-16.70949501542633
2020-01-02 18:00:00,-16.56188311407521
2020-01-02 19:00:00,-16.653503053953166
2020-01-02 20:00:00,-17.407032193535102
2020-01-02 21:00:00,-20.586147974844867
2020-01-02 22:00:00,-22.028587421129465
2020-01-02 23:00:00,-23.046622569138037
2020-01-03 00:00:00,-20.976655646597642
2020-01-03 01:00:00,-19.922993915505693
2020-01-03 02:00:00,-23.787921296488893
2020-01-03 03:00:00,-23.276992140719425
2020-01-03 04:00:00,-24.023555520247477
2020-01-03 05:00:00,-25.51132586048863
2020-01-03 06:00:00,-24.17634681209254
2020-01-03 07:00:00,-21.959545355385462
2020-01-03 08:00:00,-19.88853967606805
2020-01-03 09:00:00,-21.707796606218942
2020-01-03 10:00:00,-22.284502531145083
2020-01-03 11:00:00,-21.598653240244417
2020-01-03 12:00:00,-19.477603550653434
2020-01-03 13:00:00,-20.453705927053843
2020-01-03 14:00:00,-21.239562593695073
