,time,value
0,0,-1.2958625925090386
1,1,-1.297936078036735
2,2,-1.3015555472885438
3,3,-1.1293869918068458
4,4,-1.1783271651050982
5,5,-0.9477214018606911
6,6,-0.731764268718166
7,7,-0.8591860798574902
8,8,-0.7530756338876374
9,9,-0.7419439217504169
10,10,-0.7120053591363674
11,11,-0.4510678718166771
12,12,-0.36394702705920257
13,13,-0.1430277081701081
14,14,-0.3046973788066607
15,15,-0.5708309266535712
16,17,-0.7145795164539986
17,18,-0.7532131106436484
18,19,-0.5598356701819739
19,20,-0.4800161656360095
20,21,-0.5085837134204925
21,22,-0.5045884418396329
22,24,-0.2773973663549402
23,25,-0.3255746237975602
24,26,-0.3539775014046981
25,27,-0.4692035156076415
26,28,-0.4762005565033198
27,29,-0.37284257205138327
28,30,-0.3967454831871551
29,31,-0.3999812788530817
30,32,-0.2963996588807247
31,33,-0.304875989251891
32,35,-0.36372576094372755
33,36,-0.45749822430675113
34,37,-0.5322738065395131
35,38,-0.4166823009231269
36,39,-0.3651217141582872
37,40,-0.4478355361221618
38,41,-0.4592798269218849
39,42,-0.4302745741643215
40,44,-0.5625311022255677
41,46,-0.5323798562144486
42,47,-0.48681591406146063
43,48,-0.24708744494736706
44,49,-0.214971377103702
45,52,0.07594687659271827
46,53,0.0917658236562096
47,54,0.2220404868761833
48,56,0.4295182289476509
49,57,0.45257297443055766
50,58,0.7205170391946422
51,59,0.704780783539585
52,60,0.8813170036807384
53,61,0.9033395659273573
54,63,1.0158606052946892
55,64,0.9291891856933719
56,65,0.8097255036940224
57,66,0.6983630822693236
58,67,0.7464308727990693
59,68,0.6797196784818903
60,69,0.8549366069476462
61,70,0.7140760362741417
62,71,0.6891460117072893
63,72,0.6370910238485649
64,73,0.7131495502770783
65,74,0.8876605562091698
66,75,0.8586803368217475
67,77,0.9156824564433196
68,78,0.8398745492285057
69,80,0.7222611781259697
70,81,0.7391126921549689
71,82,0.9151162465627951
72,83,1.0823099813692836
73,84,1.070513214514771
74,85,0.9633274372188091
75,86,0.9771704278150236
76,87,0.8342690227850372
77,88,0.9544268771364043
78,89,0.7549138277958987
79,90,0.6619741037498074
80,91,0.8686242194408548
81,92,0.9572315332550045
82,93,0.9315234026416702
83,94,0.795803858796274
84,95,0.6630807172897358
85,96,0.6774861610202311
86,97,0.6836680650631956
87,98,0.8914697196391332
88,99,0.8664158267539736
89,100,0.8149724440565208
90,101,0.8360895688733094
91,102,0.9533149439389147
92,103,1.1680920225766016
93,104,1.2726890770158572
94,105,1.3038743505864385
95,106,1.2284940578770214
96,107,1.25284396667533
97,108,1.2774900292289513
98,110,1.2556209005700427
99,111,1.3364098806593938
100,112,1.3464374663057306
101,113,1.437956457771457
102,114,1.4673792077948908
103,115,1.41533888965884
104,116,1.353553107133336
105,117,1.2674173306275671
106,118,1.2097903645813217
107,119,1.3634846109095604
108,120,1.3882388101631113
109,121,1.441424578220661
110,123,1.455164241212684
111,124,1.3236956070278283
112,126,1.454696943763836
113,127,1.3045181378810804
114,128,1.195136621247624
115,129,1.339453385759332
116,130,1.252404286985671
117,132,1.185824808718356
118,133,1.2627703622358502
119,134,1.083791663594045
120,138,0.9892064870160072
121,139,0.9148202961778025
122,141,0.9095980709387006
123,142,0.7668267912803871
124,143,0.7449109522660955
125,144,0.7461927759407698
126,145,0.6964350318968955
127,146,0.603566379772955
128,147,0.5418602529918427
129,148,0.4840264004760735
130,149,0.6625860542704444
131,150,0.4058385114027318
132,151,0.07636300565563693
133,152,0.19519435664516982
134,153,0.1260418724720767
135,154,0.15082229526224752
136,155,0.20518131843723666
137,156,0.16993442875522954
138,158,0.416977412949543
139,159,0.3060387873704019
140,160,0.3750091096882825
141,161,0.32449523860632223
142,162,0.3422599736750319
143,163,0.3420655045644495
144,165,0.4391650211350207
145,166,0.5654972315432726
146,167,0.649139795812382
147,168,0.584980558870505
148,169,0.3670055688574497
149,170,0.40991116063794686
150,171,0.31674876813780384
151,172,0.35460404072654056
152,173,0.36164865146636826
153,175,0.33957347223907125
154,177,0.5606268169791511
155,178,0.37237264321615043
156,179,0.22753899459883883
157,180,0.24486718844174515
158,181,0.18302892129009377
159,182,0.2658824313660833
160,183,0.18370519941956498
161,184,0.053407509593400904
162,185,0.09808119265096724
163,186,0.11442538466737306
164,188,0.07083508622609887
165,189,0.19157976252856324
166,190,0.41239646947177516
167,191,0.39609220944254453
168,192,0.581770769183228
169,193,0.6330137413803685
170,194,0.49609849171761744
171,195,0.5873487221085286
172,196,0.6550351887040555
173,197,0.8246641336607645
174,199,0.8855768639229656
175,200,0.815487502545765
176,201,0.7903931024114677
177,202,0.7815067943819914
178,203,0.5356817477982988
179,204,0.4625401319271961
180,205,0.5202640380261205
181,206,0.6344577658779021
182,207,0.49723654433707354
183,208,0.48195931450167573
184,209,0.38004609951016965
185,210,0.4744467584799092
186,211,0.30634589208348356
187,212,0.19318167044888923
188,213,-0.031919248170781886
189,214,-0.1099904113656402
190,215,-0.29794934531510703
191,216,-0.3652299686613591
192,217,-0.4624920306605378
193,219,-0.5273106006005467
194,220,-0.4535141798077364
195,221,-0.4494161999866947
196,222,-0.389559649769201
197,223,-0.21074896665615603
198,224,-0.030971881875655756
199,225,-0.06736171371688465
200,226,-0.1475616313362159
201,227,-0.24723569736914017
202,228,-0.25988591126363336
203,229,-0.224186959076449
204,230,-0.22839433712160098
205,231,-0.33161134871785675
206,232,-0.2611743131354483
207,233,-0.24444572367331047
208,234,-0.2747890532199826
209,235,-0.41301254515125707
210,236,-0.5482900111448845
211,237,-0.6189407248571971
212,238,-0.7794332858946634
213,239,-0.7603852283118052
214,240,-0.8720852953505753
215,241,-0.8364653696022051
216,242,-0.8798542176019036
217,243,-0.9483328700837844
218,244,-0.9380100552969259
219,245,-0.6822280130198208
220,246,-0.7222756376559737
221,247,-0.5221721268458183
222,248,-0.4652586505979528
223,249,-0.42739469890103454
224,250,-0.5344814416956076
